avg color red,avg color green,avg color blue,entropy of red,entropy of green,entropy of blue,avg entropy,width,height,aspect ratio,area,size,compression ratio,bit depth,total pixels,hue,saturation,value,hue median,saturation median,value median,output
229.2734798,229.7758277,223.3911137,3.300293438,3.277906813,3.217343737,3.265181329,983,880,1.117045455,865040,101264,0.117062795,24,865040,0.177799177,0.049053126,0.903504496,0,0,1,1
221.9161642,216.1806443,204.2784677,4.683953397,4.641931096,4.387109235,4.570997909,635,526,1.207224335,334010,70591,0.211343972,24,334010,0.22623585,0.0919752,0.874568767,0,0,1,1
106.806851,104.0941753,107.3526838,5.085014311,5.15971563,5.391529105,5.212086349,638,489,1.304703476,311982,74133,0.237619478,24,311982,0.309537494,0.396815851,0.433406792,0.087301587,0.011049724,0.22745098,1
101.6555204,129.5881351,141.6679779,7.551265572,7.457392995,7.143890053,7.384182873,1920,1080,1.777777778,2073600,203752,0.098260031,24,2073600,0.109632073,0.273683407,0.556557742,0.11352657,0.287128713,0.588235294,1
210.9187944,209.5876935,168.5491754,6.416973253,6.202841097,5.820072042,6.146628797,800,620,1.290322581,496000,51517,0.103864919,24,496000,0.500039365,0.258884067,0.84492141,0.598039216,0.080321285,0.956862745,1
206.266873,200.5275625,190.9593891,6.194049674,6.139577879,5.730444504,6.021357352,800,620,1.290322581,496000,51812,0.104459677,24,496000,0.445179114,0.090102338,0.812708246,0.598039216,0.05511811,0.968627451,1
178.0756382,189.0795226,202.6562432,5.327784985,5.472647108,5.512567482,5.437666525,583,412,1.415048544,240196,52832,0.219953704,24,240196,0.175968115,0.1791849,0.801846678,0,0,0.97254902,1
205.8813488,207.6552399,196.4199395,6.127042088,6.125057738,5.844113337,6.032071055,800,620,1.290322581,496000,61378,0.123745968,24,496000,0.499543435,0.149961467,0.845915805,0.616666667,0.0562249,0.964705882,1
200.7590685,198.5314536,192.6951956,6.13537674,6.187452412,5.789753856,6.037527669,800,620,1.290322581,496000,70962,0.143068548,24,496000,0.526208148,0.178772507,0.825760658,0.616666667,0.068273092,0.964705882,1
170.3328181,198.8905632,231.5498535,5.196889943,6.017899902,7.044072791,6.086287545,1200,1200,1,1440000,259874,0.180468056,24,1440000,0.184218701,0.301852255,0.911880556,0.117562611,0.154166667,0.97254902,1
175.3684722,206.2670785,237.5817312,4.76419028,6.062605042,6.826182004,5.884325775,1200,1200,1,1440000,192720,0.133833333,24,1440000,0.091509271,0.280907419,0.934533472,0.085714286,0.149606299,0.992156863,1
145.956925,185.8101854,222.1540521,5.977975426,6.969092538,7.072997716,6.673355227,1200,1200,1,1440000,202621,0.140709028,24,1440000,0.267562509,0.385033375,0.886182456,0.128787879,0.210526316,0.949019608,1
169.9537333,198.6707812,233.0799236,5.536628915,6.488219253,6.772155606,6.265667924,1200,1200,1,1440000,229492,0.159369444,24,1440000,0.150097831,0.287951072,0.919403461,0.104166667,0.117886179,0.960784314,1
185.8005375,172.9761181,170.2885382,7.36360437,7.372550421,6.836034001,7.190729598,1200,1200,1,1440000,246206,0.170976389,24,1440000,0.39342773,0.281189132,0.796345991,0.544871795,0.231707317,0.929411765,1
97.86979095,119.3381157,159.0649879,4.992181884,5.266337262,5.334877219,5.197798788,1168,1200,0.973333333,1401600,170599,0.121717323,24,1401600,0.07054415,0.28446527,0.626358646,0,0,0.701960784,1
156.8029181,194.8927437,225.7932403,5.861918952,6.527068966,6.874281973,6.421089963,1200,1200,1,1440000,176636,0.122663889,24,1440000,0.096637864,0.316815771,0.886213145,0.097014925,0.277227723,0.964705882,1
187.9593463,188.848797,167.6354142,7.331461897,6.930288094,6.888685858,7.050145283,1200,1197,1.002506266,1436400,199576,0.138941799,24,1436400,0.342708817,0.185129954,0.75311587,0.510638298,0.081967213,0.894117647,1
49.68694306,141.1412611,204.7800826,5.938169995,6.260619828,5.808813524,6.002534449,1200,1200,1,1440000,229036,0.159052778,24,1440000,0.122015395,0.779044413,0.805287326,0.105214153,0.950207469,0.878431373,1
143.3888845,186.3705864,197.8474741,6.62920725,6.801408709,6.931588775,6.787401578,1024,1024,1,1048576,243576,0.232292175,24,1048576,0.323735482,0.345261978,0.816080419,0.158,0.280991736,0.929411765,1
50.54978889,116.0982701,156.9676431,7.309887681,7.1264776,6.743237272,7.059867517,1200,1200,1,1440000,236824,0.164461111,24,1440000,0.117555375,0.633579308,0.617006511,0.102803738,0.602339181,0.68627451,1
138.4864801,173.3852332,202.2375828,4.463335797,6.162567363,6.806698896,5.810867352,1200,1197,1.002506266,1436400,187017,0.130198413,24,1436400,0.132109988,0.413715753,0.793904765,0.099865047,0.192156863,0.996078431,1
174.6744312,181.7963833,186.8762514,4.841389276,4.864801207,4.964807292,4.890332592,1200,1200,1,1440000,263290,0.182840278,24,1440000,0.076328481,0.122740608,0.734750362,0,0,0.980392157,1
140.8513561,175.0386096,203.6259833,4.538055774,6.32233114,7.003564631,5.954650515,1024,1022,1.001956947,1046528,144827,0.138388079,24,1046528,0.135451802,0.401869689,0.799440402,0.100271003,0.188235294,0.996078431,1
139.9832583,192.7547451,235.1222958,5.386455422,6.931192758,7.19166117,6.503103117,1200,1200,1,1440000,193379,0.134290972,24,1440000,0.165502967,0.425665779,0.929962808,0.100660066,0.438053097,0.968627451,1
193.6372952,186.7811293,180.4244903,6.615735574,6.390582251,6.225869172,6.410728999,1200,932,1.287553648,1118400,219520,0.196280401,24,1118400,0.534737277,0.261038576,0.815250768,0.583333333,0.118367347,0.956862745,1
114.515675,183.6057299,177.1664549,6.768008708,7.066852217,7.363635143,7.066165356,1200,1200,1,1440000,267846,0.186004167,24,1440000,0.254183308,0.492484343,0.780719962,0.200980392,0.546218487,0.898039216,1
209.0966799,208.0322562,172.8769431,6.788648913,6.128269144,6.220949563,6.379289207,1200,1200,1,1440000,245583,0.17054375,24,1440000,0.462641564,0.283985924,0.846003524,0.495098039,0.137254902,0.956862745,1
139.3052264,153.5499979,136.2285667,6.691665814,6.636667197,6.741029035,6.689787349,1200,1200,1,1440000,219615,0.152510417,24,1440000,0.368331851,0.341743463,0.651121609,0.5,0.25,0.721568627,1
129.5709368,187.4868694,219.5868021,5.498994436,6.690925808,6.975885256,6.388601833,1200,1200,1,1440000,247702,0.172015278,24,1440000,0.15501582,0.425812152,0.8737889,0.123563218,0.262096774,0.97254902,1
164.6494132,199.3173938,231.2765764,5.057717221,6.497395227,7.103316857,6.219476435,1200,1200,1,1440000,215071,0.149354861,24,1440000,0.123335337,0.320331116,0.908745891,0.128205128,0.169960474,0.980392157,1
207.3199187,205.6346854,179.3371743,7.140907543,6.1502037,6.341663458,6.544258234,1200,1200,1,1440000,197554,0.137190278,24,1440000,0.480941236,0.347201237,0.900591446,0.494949495,0.258964143,0.976470588,1
186.1268438,201.2226667,194.0706917,6.300107263,6.544038833,6.678708624,6.50761824,1200,1200,1,1440000,179296,0.124511111,24,1440000,0.396280304,0.21993726,0.84644226,0.453703704,0.138075314,0.898039216,1
